,textstring
0,les horribles et espoventables faictz et prouesses du très renommé pantagruel roy des dipsodes filz du grand géant gargantua composez nouvellement par maistre alcofrybas nasier.
1,on les vend à lyon en la maison de claude nourry dict le prince pres nostre dame de confort.
2,prologue de lauteur.
3,tres illustres et tres chevaleureux champions gentilz hommes et aultres qui voluntiers vous adonnez à toutes gentillesses et honnestetez vous avez na gueres veu leu et sceu les grandes et inestimables chronicques de lenorme geant gargantua et comme vrays fideles les avez creues tout ainsi quen texte de bible ou du sainct evangile et y avez maintefoys passé vostre temps avecques les honorables dames et damoyselles leur en faisans beaulx et longs narrez alors que estiez hors de propos : dont estes bien dignes de grande louange.
4,et à la mienne volunte que ung chascun laissast sa propre besoigne ne se souciast de son mestier et mist ses affaires propres en oubly afin dy vacquer entierement sans que son esprit feust de ailleurs distraict ny empesche jusques à ce que lon les sceust par cueur affin que si dadventure lart de limprimerie cessoit ou en cas que tous livres perissent au temps advenir dont chascun les puisse bien au net enseigner à ses enfans : car il y a plus de fruict que par adventure ne pensent ung tas de gros talvassiers tous croustelevez qui entendent beaucoup moins en ces petites joyeusetez que ne faict raclet en linstitute.
5,jen ay congneu de haultz et puissans seigneurs en bon nombre qui allant à chasse de grosses bestes ou voller pour faucons : sil advenoit que la beste ne feust rencontree par les brisees ou que le faulcon se mist à planer voyant la proye gaigner à tire desle ilz estoient bien marryz comme entendez assez : mais leur refuge de reconfort et affin de ne se morfondre estoit à recoler les inestimables faictz dudict gargantua.
6,daultres sont par le monde ce ne sont pas faribolles qui estans grandement affligez du mal des dentz apres avoir tous leurs biens despenduz en medecins ne ont trouve remede plus expedient que de mettre les dictes chronicques entre deux beaulx linges bien chaulx et les appliquer au lieu de la douleur les sinapizant avecques un peu de pouldre doribus.
7,mais que diray je des pauvres verollez et goutteux?
8,o quantes foys nous les avons veu à lheure quilz estoyent bien oingtz et engressez à poinct et le visaige leur reluysoit comme la claveure dun charnier et les dentz leur tressailloyent comme font les marchettes dung clavier dorgues ou despinette quand on joue dessus et que le gousier leur escumoit comme a un verrat que les vaultres et levriers ont chasse sept heures : que faisoyentilz alors?
9,toute leur consolation nestoit que de ouyr lire quelque page dudict livre.
10,et en avons veu qui se donnoyent à cent pipes de diables en cas que ilz neussent senty allegement manifeste a la lecture dudict livre lors quon les tenoit es iymbes ny plus ny moins que les femmes estans en mal denfant quand on leurs list la vie de saincte marguerite.
11,est ce rien cela?
12,trouvez moy livre en quelque langue en quelque faculte et science que ce soit qui ayt telles vertus proprietez et prerogatives et je paieray chopine de trippes.
13,non messieurs non.
14,il ny en a point.
15,et ceulx qui vouldroient maintenir que si : reputés les abuseurs et seducteurs.
16,bien vray est il que lon trouve en daulcuns livres dignes de memoire certaines propriétés occultes au nombre desquelz lon met robert le diable fierabras guillaume sans paour huon de bourdeaulx monteville et matabrune mais elles ne sont pas à comparer à celuy dont nous parlons.
17,et le monde a bien congneu par experience infaillible le grand emolument et utilite qui venoit de ladicte chronicque gargantuine : car il en a este plus vendu des imprimeurs en deux moys quil ne sera achepte de bibles en neuf ans.
18,voulant doncques moy vostre humble esclave accroistre voz passetemps davantaige ie vous offre de present ung aultre livre de mesmes billon sinon quil est ung peu plus equitable et digne de foy que nestoit laultre.
19,car ne croyez pas si ne voulez errer à vostre escient que ien parle comme les juifz de la loy.
20,je ne suis pas nay en telle planette et ne madvint oncques de mentir ou asseurer chose que ne feust veritable : agentes et consentientes cest a dire qui na conscience na rien.
21,jen parle comme sainct jehan de lapocalypse : quod bibimus testamur.
22,cest des horribles faicts et prouesses de pantagruel lequel iay servy à guaiges des que ie fus hors de paige iusques a present que par son congie men suis venu ung iour visiter mon pays de vache et scavoir sil y avoit encores en vie nul de mes parens.
23,pourtant affin que ie fasse fin à ce prologue tout ainsi comme ie me donne à cent mille panerees de beaulx diables corps et ame trippes et boyaulx en cas que ien mente en toute lhistoire dung seul mot pareillement le feu sainct antoine vous arde mau de terre vous vire le lancy le mau lubec vous trousse la caquesangue vous viengne le mau fin feu de ricque racque aussi menu que poil de vache tout renforcé de vif argent vous puisse entrer au fondement et comme sodome et gomorre puissez tomber en soulfre en feu et abysme en cas que vous ne croyez fermement tout ce que ie vous racompteray en ceste presente chronicque.
24,de lorigine et antiquite du grand pantagruel.
25,chapitre  ce ne sera point chose inutile ne oysifve de vous remembrer la premiere source et origine dont nous est nay le bon pantagruel : car ie voy que tous bons historiographes ainsi ont traicte leurs chronicques non seulement des grecs des arabes et ethnicques mais aussi les auteurs de la saincte escripture comme monseigneur sainct luc mesmement et sainct matthieu.
26,il vous convient doncques noter que au commencement du monde ung peu apres que abel fut occis par son frere cayn la terre embue du sang du iuste fut une certaine annee si tresfertile en tous fruictz qui de ses flans nous sont produictz et singulierement en mesles que lon lappela de toute memoire lannee des grosses mesles : car les troys en faisoient le boysseau au moys de octobre ce me semble ou bien de septembre affin que ie ne erre : fut la sepmaine tant renommee par les annales quon nomme la sepmaine des troys jeudys : car il y en eut troys a cause des irreguliers bissextes que la lune varia de son cours plus de cinq toizes le monde voluntiers mangeoit desdictes mesles : car elles estoient belles a lœil : et delicieuses au goust.
27,mais tout ainsi que noe le sainct homme à qui nous sommes tant obligez et tenuz de ce quil nous planta la vigne dont nous vient ceste nectareicque precieuse celeste et deificque liqueur quon nomme le piot fut trompe en le beuvant : car il ignoroit la grande vertu et puissance diceluy.
28,semblablement les hommes et femmes de ce temps la mangeoient en grand plaisir de ce beau et gros fruict : mais il leurs en advint beaucoup daccidens.
29,car a tous survint au corps une enfleure bien estrange : mais non a tous en ung mesme lieu.
30,car les ungs enfloient par le ventre et le ventre leur devenoit bossu comme une grosse tonne : desquels il est escript : ventrem omnipotem.
31,et de ceste rasse nasquit sainct pansart et mardygras.
32,les aultres enfloient par les espaules et tant estoient bossuz quon les appeloit montiferes comme porte montaignes : dont vous en voyez encores par le monde en divers sexes et dignitez.
33,et de cette rasse yssit esopet : dont vous avez les beaulx faictz et dictz par escript.
34,les aultres enfloient en longitude par le membre quon appelles le laboureur de nature : en sorte quils le avoyent merveilleusement long grand gras gros vert et acreste a la mode antique si bien quils sen servoient de ceincture le redoublant a cinq ou six foys par le corps : et sil advenoit quil feut en point et eut vent en pouppe a les veoir vous eussiez dit que cestoient gens qui eussent leurs lances en larrest pour iouster à la quintaine.
35,et de ceulx la sest perdue la rasse comme disent les femmes.
36,car elles lamentent continuellement quil nen est plus de ces gros etc.
37,vous scavez le reste de la chanson.
38,daultres croissoyent par les iambes et a les veoir eussiez dit que cestoient grues ou bien gens marchans sus des eschasses.
39,et les petitz grymaulx les appellent en grammaire iambus.
40,daultres par les aureilles lesquelles ils avoient si grandes que de lune en faisoient pourpoint chausses et sayon : et de laultre se couvroient comme dune cappe à lespaignole.
41,et dit lon quen bourbonnoys encores en a de lheraige dont sont dictes aureilles de bourbonnoys.
42,les aultres croissoient en long du corps : et de ceulx là sont venuz les geans et par eulx pantagruel.
