folio,side,par,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
1,r,1,"9,8,a,Z,a,?,c^c,9","c,P1,c,a,m","c,P2,c,o,Z","c,M,c,a,m","cc,c,a,Z","2,a,i,Z,9","o,N,a,i","o,Z","o,N,a,m","8,a,m"
1,r,2,"M,c,o,8,9","o,Z","8,a,n","c^c,o,8,9","c,P1,c,o,x","c^c,o,2","8,a,m","N,o,2","cc,o,Z","8,a,n"
1,r,3,"8,a,m+","o,M,o,x","c,N,c,o,9","8,a,n","cc,c,9","cc,o,Z","c^c,o,N","o,c,M,o","8,?","x,2"
1,r,4,"cc,o,M,c,9","cc,o,M,9","cc,o,N","cc,o,x","c?,c,o","cc,M,o,Z","8,a,x","N,c,c,9","N,c,c,9","o,N,cc,c,9"
1,r,5,"8,cc,a,m",$,$,$,$,$,$,$,$,$
1,v,1,"cc,o,N,o,8,9","2,o,cc,c,9","8,a,Q","8,a,i,Z","cc,o,N,c,o","8,o,x","8,a,x","N,o,M,cc,o,8,9","c,M,c,9","8,N,c^c,c,c,9"
1,v,2,"cc,o,8,a,Z","P2,o,x","2,cc,o,8,9","cc,o,8,9","8,a,x","cc,o,M,cc,c,9","M,a,o,Z","c?c,o,8,9","8,a,Z","o,M,cc,o"
2,r,1,"8,a,i","cc,o,x","8,a,m,9","c,N,c,9","c^c,o,Z","c,M,c,9","8,cc,9","8,cc,o,x","9,M,o,x,8,9","2,o,Z"
2,r,2,"cc,c,M,c,9","8,a,m","cc,c,9","9,N,c,c,9","c^c,o","?,a,x","cc,9,N,9","cc,c,M,9","2,a,m","cc,a,i"
2,v,1,"cc,o,8,a,m","cc,c,o,Z","cc,o,x,o","c^c,o","8,a,m","cc,c,M,c,9","cc,o,8,a,n","cc,o,8,9","cc,o,x","x,c^c,9"
2,v,2,"8,o,x,o,8,9","cc,o,x","cc,i,o,x","cc,o,Z","cc,o,N,o,?,c^c,c","cc,c,a,m","cc,Z","cc,c,c,2","cc,o,N,c,o,2","4,o,M,c,c,c,9"
3,r,1,"c,M,c,o,Q","cc,o,x","9,8,a,Z","o,x","o,M,cc,o,8,9","c^c,c,o,x,8,a,Q","?,o,Z","c^c,o","8,a,Q,o","o,N,9"
3,r,2,"4,o,N,c,c,9","o,N,c,c,9","4,o,8,a,i,Z","cc,o,Z","cc,c,o,8,9","4,o,N,c^c,c,9","4,o,N,o,8,9","4,o,M,c^c,c,9","4,o,N,c,c,9","o,c,M,c,9"
3,r,3,"2,a,Q","4,o,N,c,c,o,8,a,x","9,M,c,o,8,9","o,N,c,o,Q","2,o,c,o,Q","2,o,x,c,c,Q","8,a,m","4,o,N,a,x","4,o,N,c,o,Q","c,N,c^c,9"
3,r,4,"a,Q","o,Z","o,N,o,x","a,m",2,"cc,o,x","o,8,a,m","cc,o,x","9,cc,c,o,Z","c,M,c,9"
3,v,1,"cc,a,Q","cc,o,8,a,x,9","N,o,Z","cc,c,a,Z","o,Z","?,N,c,9","cc,a,Z","cc,o,Z","o,M,cc,a,x","9,cc,c,a,Z"
3,v,2,"N,c,a,Q",9,"c^c,c,a,Q","8,a,n","cc,N,9","c,M,c,a,x","9,M,9","4,o,N,cc,9","c^c,N,a,m","c^c,a,Z"
