dbnl_id,title,author,year,xml_available,medical_practical,url
cast005hist02,Pyramus ende Thisbe,Matthijs de Castelein,ca.1515,no,no,https://www.dbnl.org/titels/titel.php?id=cast005hist02
gnap001acol01,Acolastus,Guilielmus Gnapheus,1528,no,no,https://www.dbnl.org/titels/titel.php?id=gnap001acol01
eras001adag01,Adagiorum collectanea,Desiderius Erasmus,1500,no,no,https://www.dbnl.org/titels/titel.php?id=eras001adag01
_amo003amor01,Amoreuse liedekens,anon.,after 1613,yes,no,https://www.dbnl.org/titels/titel.php?id=_amo003amor01
_ant001antw06,Antwerps liedboek,anon. & Jan Frans Roelants,1544,no,no,https://www.dbnl.org/titels/titel.php?id=_ant001antw06
_ars002arsm01,Ars moriendi,anon.,1488,yes,maybe,https://www.dbnl.org/titels/titel.php?id=_ars002arsm01
cast005bala01,Baladen van Doornijcke,Matthijs de Castelein,1521-1522,no,no,https://www.dbnl.org/titels/titel.php?id=cast005bala01
secu001basi03,Basiorum Liber,Janus Secundus,1536,no,no,https://www.dbnl.org/titels/titel.php?id=secu001basi03
will067cjgo01,Bedevaart naar Jerusalem in 1525,Arent Willemsz,1525,no,no,https://www.dbnl.org/titels/titel.php?id=will067cjgo01
_boe034boec01,Boec der Minnen,anon.,13th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_boe034boec01
boen001brab01,Brabantsche yeesten (3 parts),Jan van Boendale,1839-1869 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=boen001brab01
_bue001buev01,Buevijn van Austoen,anon.,15th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_bue001buev01
crul001carn01,Carnation,Cornelis Crul,1533,no,no,https://www.dbnl.org/titels/titel.php?id=crul001carn01
eras001inst01,Christiani matrimonii institutio,Desiderius Erasmus,1525,yes,no,https://www.dbnl.org/titels/titel.php?id=eras001inst01
ghis001clac01,Clachtige Sendtbrieven,Cornelis van Ghistele,1553-1556,no,no,https://www.dbnl.org/titels/titel.php?id=ghis001clac01
coor001cons01,"Consistorie, handelende van 't niet hanteren des nachtmaels",D.V. Coornhert,ca.1580,no,no,https://www.dbnl.org/titels/titel.php?id=coor001cons01
vaer005cons01,Conste van musike oft vanden Sanghe,Christiaen van Vaerenbraken,1535,no,no,https://www.dbnl.org/titels/titel.php?id=vaer005cons01
froi002npau00,Cronyke van Vlaenderen (4 parts),Jean Froissart,1898-1909 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=froi002npau00
jaco133dagb01,Dagboek van broeder Wouter Jacobsz,Wouter Jacobsz,1959-1960 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=jaco133dagb01
_dag005dagb02,Dagboek van Gent van 1447 tot 1470,anon.,1901-1904 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_dag005dagb02
_bag001bagh02,Dat baghijnken van Parijs,anon.,1490,no,no,https://www.dbnl.org/titels/titel.php?id=_bag001bagh02
_sca001scae01,Dat Scaecspel,anon.,1479,no,no,https://www.dbnl.org/titels/titel.php?id=_sca001scae01
_bek001beke02,De bekeeringe Pauli,anon.,ca.1550,no,no,https://www.dbnl.org/titels/titel.php?id=_bek001beke02
vilt001cons01,De consolatione philosophiae,Jacob Vilt,1466,no,no,https://www.dbnl.org/titels/titel.php?id=vilt001cons01
_gen001gent03,De Gentse Spelen,anon.,1539,no,no,https://www.dbnl.org/titels/titel.php?id=_gen001gent03
_his022hist01,De historia van den souen wysen meisteren,anon.,ca.1478,yes,no,https://www.dbnl.org/titels/titel.php?id=_his022hist01
_ver002gjbo01,De historie van den verloren sone,anon.,1540,no,no,https://www.dbnl.org/titels/titel.php?id=_ver002gjbo01
simo021kind01,De Kindertucht,Menno Simons,1544,no,no,https://www.dbnl.org/titels/titel.php?id=simo021kind01
_lev005leve03,De levens van Jezus in het Middelnederlandsch,anon.,1895-1898 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=_lev005leve03
pert001camp02,Den camp vander doot,Jan Pertcheval,1503,no,no,https://www.dbnl.org/titels/titel.php?id=pert001camp02
coec002eers01,Den eersten boeck van architecturen Sebastiani Serlij,Pieter Coecke van Aalst,1537-1553,no,no,https://www.dbnl.org/titels/titel.php?id=coec002eers01
_qua001quae01,Der IX quaesten,anon.,1528,yes,no,https://www.dbnl.org/titels/titel.php?id=_qua001quae01
boen001mvri01,Der leken spieghel (M. de Vries ed.),Jan van Boendale,1844-1848 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=boen001mvri01
boen001derl02,Der leken spieghel,Jan van Boendale,ca.1970 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=boen001derl02
coor001maeg01,Der maeghdekens schole,D.V. Coornhert,16th c.,no,no,https://www.dbnl.org/titels/titel.php?id=coor001maeg01
pott002derm03,Der minnen loep,Dirc Potter,1845-1846 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=pott002derm03
dale004stov01,De stove,Jan van den Dale,1528,no,no,https://www.dbnl.org/titels/titel.php?id=dale004stov01
dale004urev02,De ure vander doot,Jan van den Dale,ca.1516,no,no,https://www.dbnl.org/titels/titel.php?id=dale004urev02
_vor003vors01,De Vorsterman Bijbel,anon.,ca.1528-1531,yes,no,https://www.dbnl.org/titels/titel.php?id=_vor003vors01
leeu002diag01,Dialogus Creaturarum,Gheraert Leeu,1481,no,no,https://www.dbnl.org/titels/titel.php?id=leeu002diag01
_ald001alde01,Die alder excellenste cronyke van Brabant,anon.,1498,no,no,https://www.dbnl.org/titels/titel.php?id=_ald001alde01
aure001cron01,"Die cronycke van Hollandt, Zeelandt ende Vrieslant",Cornelius Aurelius,1517,no,no,https://www.dbnl.org/titels/titel.php?id=aure001cron01
smet001exce01,Die excellente cronike van Vlaenderen,Andries de Smet,1531,no,no,https://www.dbnl.org/titels/titel.php?id=smet001exce01
_ale002alex01,Die historie ... alexanders,anon.,1477,yes,no,https://www.dbnl.org/titels/titel.php?id=_ale002alex01
_his017hist01,Die historie vanden vromen ridder parijs,anon.,1487,yes,no,https://www.dbnl.org/titels/titel.php?id=_his017hist01
vart002ridd01,Die ridderlycke reyse van heer Lodewijck Vertimans van Bolonien,Ludovico di Varthema,1544,yes,no,https://www.dbnl.org/titels/titel.php?id=vart002ridd01
_dis002dist01,Disticha Catonis,anon.,14th c.,no,no,https://www.dbnl.org/titels/titel.php?id=_dis002dist01
_dit005ditb01,Dit boecxken leert hoemen mach voghelen vanghen,anon.,1509,yes,YES,https://www.dbnl.org/titels/titel.php?id=_dit005ditb01
_dit004dits01,Dits die Excellente Chronijcke van Vlaenderen,anon.,1531,yes,no,https://www.dbnl.org/titels/titel.php?id=_dit004dits01
leeu002hyst01,Dye hystorien ende fabulen van Esopus,Gheraert Leeu,1485,no,no,https://www.dbnl.org/titels/titel.php?id=leeu002hyst01
_dev001dfsc01,Een deuoot ende profitelyck boecxken,anon.,1539,no,no,https://www.dbnl.org/titels/titel.php?id=_dev001dfsc01
dant001godd00,Goddelijke komedie (3 delen),Dante Alighieri,1929-1930 ed.,no,no,https://www.dbnl.org/titels/titel.php?id=dant001godd00
