doc_id,block_type,para_id,sent_id,is_para_final,page_n,heading,textstring_orig,textstring_rich,textstring_simple
ellis_1854,body,1,0,True,36,Powder of Ipecacuanha,"℞. Pulveris Ipecacuanhæ, ℈ij.",℞ pulveris ipecacuanhæ ℈ij,r pulveris ipecacuanhae eij
ellis_1854,body,2,0,False,36,Powder of Ipecacuanha with Tartarized Antimony,"℞. Pulveris Ipecacuanhæ, ʒss.",℞ pulveris ipecacuanhæ ʒss,r pulveris ipecacuanhae dss
ellis_1854,body,2,1,False,36,Powder of Ipecacuanha with Tartarized Antimony,"Antimonii et Potassæ Tartratis, gr. ij.",antimonii et potassæ tartratis gr ij,antimonii et potassae tartratis gr ij
ellis_1854,body,2,2,True,36,Powder of Ipecacuanha with Tartarized Antimony,"Misce, et divide in pulveres ij.",misce et divide in pulveres ij,misce et divide in pulveres ij
ellis_1854,body,3,0,False,37,Powder of Alum,"℞. Aluminis, ℥j.",℞ aluminis ℥j,r aluminis zj
ellis_1854,body,3,1,True,37,Powder of Alum,Fiat pulvis.,fiat pulvis,fiat pulvis
ellis_1854,body,4,0,False,37,Turpeth Mineral,"℞. Hydrargyri Sulphatis flavi, gr. xij.",℞ hydrargyri sulphatis flavi gr xij,r hydrargyri sulphatis flavi gr xij
ellis_1854,body,4,1,True,37,Turpeth Mineral,Divide in pulveres iv.,divide in pulveres iv,divide in pulveres iv
ellis_1854,body,5,0,True,37,Powder of Mustard,"℞. Pulveris Sinapis, ℥j.",℞ pulveris sinapis ℥j,r pulveris sinapis zj
ellis_1854,body,6,0,True,37,Emetic of Common Salt,"℞. Sodii Chloridi, ℥j.",℞ sodii chloridi ℥j,r sodii chloridi zj
ellis_1854,body,7,0,True,38,Powder of Sulphate of Copper,"℞. Cupri Sulphatis, gr. ij.",℞ cupri sulphatis gr ij,r cupri sulphatis gr ij
ellis_1854,body,8,0,True,38,Poivder of Sulphate of Zinc,"℞. Zinci Sulphatis, gr. x. vel ʒss.",℞ zinci sulphatis gr x vel ʒss,r zinci sulphatis gr x vel dss
ellis_1854,body,9,0,False,38,Powder of Ipecacuanha and Calomel,"℞. Pulveris Ipecacuanhæ, gr. viij.",℞ pulveris ipecacuanhæ gr viij,r pulveris ipecacuanhae gr viij
ellis_1854,body,9,1,False,38,Powder of Ipecacuanha and Calomel,"Hydrargyri Chloridi Mitis, gr. v.",hydrargyri chloridi mitis gr v,hydrargyri chloridi mitis gr v
ellis_1854,body,9,2,True,38,Powder of Ipecacuanha and Calomel,Misce.,misce,misce
ellis_1854,body,10,0,False,38,Powder of Ipecacuanha with Rhuharh,"℞. Pulveris Ipecacuanhæ, Rhei, āā ℈j.",℞ pulveris ipecacuanhæ rhei āā ℈j,r pulveris ipecacuanhae rhei aa ej
ellis_1854,body,10,1,True,38,Powder of Ipecacuanha with Rhuharh,Misce.,misce,misce
ellis_1854,body,11,0,False,38,Wine of Ipecacuanha with Antimony,"℞. Vini Ipecacuanhæ, f℥j.",℞ vini ipecacuanhæ f℥j,r vini ipecacuanhae fzj
ellis_1854,body,11,1,False,38,Wine of Ipecacuanha with Antimony,"Antimonii et Potassæ Tartratis, gr. j.",antimonii et potassæ tartratis gr j,antimonii et potassae tartratis gr j
ellis_1854,body,11,2,True,38,Wine of Ipecacuanha with Antimony,Fiat solutio.,fiat solutio,fiat solutio
ellis_1854,body,12,0,True,39,Antimonial Wine,"℞. Vini Antimonii, f℥j.",℞ vini antimonii f℥j,r vini antimonii fzj
ellis_1854,body,13,0,False,39,Tincture of American Hellebore,"℞. Radicis Veratri Viridis, ℥viij.",℞ radicis veratri viridis ℥viij,r radicis veratri viridis zviij
ellis_1854,body,13,1,False,39,Tincture of American Hellebore,"Alcoholis, Oj.",alcoholis oj,alcoholis oj
ellis_1854,body,13,2,True,39,Tincture of American Hellebore,"Macera per dies decem, vel quatuordecim, et exprime.",macera per dies decem vel quatuordecim et exprime,macera per dies decem vel quatuordecim et exprime
