id,type,condition,token_a,token_b,token_c,relation,citation,notes
1,triple,"If 4,o,N,c,c,8,9 is V [C]","4,o,N,c,c,8,9","c^c,c,c,a,x","4,o,M,c,9","a≠b, a≠c",108v.12.2,"tokens b and c flank the triple of a; they must be opposite type"
2,triple,"If 4,o,N,c,8,9 is V [C]","4,o,N,c,8,9","4,o,N,9","4,o,N,a,n","a≠b, a≠c",75r.3.12,"tokens b and c flank the triple of a; they must be opposite type"
3,triple,"If 4,o,N,c,8,9 is V [C]","4,o,N,c,8,9","c^c,c,9","8,a,Z","a≠b, a≠c",79v.3.8,"tokens b and c flank the triple of a; they must be opposite type"
4,triple,"If cc,o,x is V [C]","cc,o,x","c,M,c,a,m","","a≠b",8v.1.8,"c,M,c,a,m flanks the triple; KEY: c,M,c,a,m appears in 2 independent triple contexts (also #5) always opposite cc,o,x"
5,triple,"If cc,o,x is V [C]","cc,o,x","c,M,c,a,m","cc,o,Z","a≠b, a≠c",42r.2.2,"tokens b and c flank the triple of a; they must be opposite type"
6,triple,"If c^c,c,o,x is V [C]","c^c,c,o,x","c^c,o,Z","4,o,N,cc,c,8,9","a≠b, a≠c",104v.8.1,"NOTE: ...o,Z tokens consistently opposite type from ...o,x tokens (see also #5)"
7,AABBA,"8,a,m opposite type to 4,o,M,cc,9","8,a,m","4,o,M,cc,9","","a≠b",19v.1.4,"AABBA: 5 consecutive tokens of 2 types; 5 consecutive V's or C's is implausible so the two types must be opposite"
8,AABBA,"4,o,N,c,c,8,9 opposite type to 4,o,N,c,8,9","4,o,N,c,c,8,9","4,o,N,c,8,9","","a≠b",75r.5.7,"AABBA: 5 consecutive tokens of 2 types; must be opposite"
9,AABBA,"4,o,N,c,8,9 opposite type to 8,a,x","4,o,N,c,8,9","8,a,x","","a≠b",78r.2.5,"AABBA: 5 consecutive tokens of 2 types; must be opposite"
10,terminal_YYz,"cc,o,x opposite type to 8,a,m","cc,o,x","8,a,m","","a≠b",56v.2,"terminal sequence cc,o,x | cc,o,x | 8,a,m; 3 consecutive same type at paragraph end implausible"
11,terminal_xYYz,"8,a,m and 4,o,M,o,x both opposite type to 4,o,N,o,x","4,o,N,o,x","8,a,m","4,o,M,o,x","a≠b, a≠c",104v.3.4,"terminal: 4,o,M,o,x | 4,o,N,o,x | 4,o,N,o,x | 8,a,m; flanking tokens must be opposite type to the double"
12,ABBAB,"4,o,N,a,Z opposite type to c^c,c,8,9","4,o,N,a,Z","c^c,c,8,9","","a≠b",76r.1.22,"ABBAB: 5 consecutive tokens of 2 types; must be opposite"
13,ABBAB,"cc,c,c,M,c,9 opposite type to 4,o,N,a,n","cc,c,c,M,c,9","4,o,N,a,n","","a≠b",80r.5.3,"ABBAB: 5 consecutive tokens of 2 types; must be opposite"
14,terminal_ZxZ,"cc,o,8,a,m PROBABLY opposite type to c^c,a,Z","cc,o,8,a,m","c^c,a,Z","","a≠b (probable)",107r.7,"PROBABLE ONLY; terminal ZxZ pattern"
15,terminal_ZxZ,"8,a,m PROBABLY opposite type to 8,a,x","8,a,m","8,a,x","","a≠b (probable)",108r.5,"PROBABLE ONLY; terminal ZxZ: 8,a,m | 8,a,x | 8,a,m"
16,terminal_ZxZ,"cc,c,8,9 PROBABLY opposite type to o,N,c,c,9","cc,c,8,9","o,N,c,c,9","","a≠b (probable)",111r.15,"PROBABLE ONLY; terminal ZxZ pattern"
17,terminal,"4,o,N,c,c,c,9 PROBABLY opposite type to o,N,c,c,9","4,o,N,c,c,c,9","o,N,c,c,9","","a≠b (probable)",104v.13,"PROBABLE ONLY; terminal sequence"
