book,chapter,line,textstring
0,0,0,el ingenioso hidalgo don quijote de la mancha por miguel de cervantes saavedra
0,1,0,tasa.
0,1,1,testimonio de las erratas.
0,1,2,el rey.
0,1,3,al duque de bejar.
0,1,4,prologo.
0,1,5,al libro de don quijote de la mancha.
0,1,6,que trata de la condicion y ejercicio del famoso hidalgo don quijote de la mancha.
0,1,7,que trata de la primera salida que de su tierra hizo el ingenioso don quijote.
0,1,8,donde se cuenta la graciosa manera que tuvo don quijote en armarse caballero.
0,1,9,de lo que le sucedio a nuestro caballero cuando salio de la venta.
0,1,10,donde se prosigue la narracion de la desgracia de nuestro caballero.
0,1,11,del donoso y grande escrutinio que el cura y el barbero hicieron en la libreria de nuestro ingenioso hidalgo.
0,1,12,de la segunda salida de nuestro buen caballero don quijote de la mancha.
0,1,13,del buen suceso que el valeroso don quijote tuvo en la espantable y jamas imaginada aventura de los molinos de viento con otros sucesos dignos de felice recordacion.
0,1,14,donde se concluye y da fin a la estupenda batalla que el gallardo vizcaino y el valiente manchego tuvieron.
0,1,15,de lo que mas le avino a don quijote con el vizcaino y del peligro en que se vio con una turba de yangueses.
0,1,16,de lo que le sucedio a don quijote con unos cabreros.
0,1,17,de lo que conto un cabrero a los que estaban con don quijote.
0,1,18,donde se da fin al cuento de la pastora marcela con otros sucesos.
0,1,19,donde se ponen los versos desesperados del difunto pastor con otros no esperados sucesos.
0,1,20,donde se cuenta la desgraciada aventura que se topo don quijote en topar con unos desalmados yangueses.
0,1,21,de lo que le sucedio al ingenioso hidalgo en la venta que el imaginaba ser castillo.
0,1,22,donde se prosiguen los innumerables trabajos que el bravo don quijote y su buen escudero sancho panza pasaron en la venta que por su mal penso que era castillo.
0,1,23,donde se cuentan las razones que paso sancho panza con su senor don quijote con otras aventuras dignas de ser contadas.
0,1,24,de las discretas razones que sancho pasaba con su amo y de la aventura que le sucedio con un cuerpo muerto con otros acontecimientos famosos.
0,1,25,de la jamas vista ni oida aventura que con mas poco peligro fue acabada de famoso caballero en el mundo como la que acabo el valeroso don quijote de la mancha.
0,1,26,que trata de la alta aventura y rica ganancia del yelmo de mambrino con otras cosas sucedidas a nuestro invencible caballero.
0,1,27,de la libertad que dio don quijote a muchos desdichados que mal de su grado los llevaban donde no quisieran ir.
0,1,28,de lo que le acontecio al famoso don quijote en sierra morena que fue una de las mas raras aventuras que en esta verdadera historia se cuentan.
0,1,29,donde se prosigue la aventura de la sierra morena.
0,1,30,que trata de las estranas cosas que en sierra morena sucedieron al valiente caballero de la mancha y de la imitacion que hizo a la penitencia de beltenebros.
0,1,31,donde se prosiguen las finezas que de enamorado hizo don quijote en sierra morena.
0,1,32,de como salieron con su intencion el cura y el barbero con otras cosas dignas de que se cuenten en esta grande historia.
0,1,33,que trata de la nueva y agradable aventura que al cura y barbero sucedio en la mesma sierra.
0,1,34,que trata de la discrecion de la hermosa dorotea con otras cosas de mucho gusto y pasatiempo.
0,1,35,que trata del gracioso artificio y orden que se tuvo en sacar a nuestro enamorado caballero de la asperisima penitencia en que se habia puesto.
0,1,36,de los sabrosos razonamientos que pasaron entre don quijote y sancho panza su escudero con otros sucesos.
0,1,37,que trata de lo que sucedio en la venta a toda la cuadrilla de don quijote.
0,1,38,donde se cuenta la novela del curioso impertinente.
0,1,39,donde se prosigue la novela del curioso impertinente.
0,1,40,donde se da fin a la novela del curioso impertinente.
0,1,41,que trata de la brava y descomunal batalla que don quijote tuvo con unos cueros de vino tinto con otros raros sucesos que en la venta le sucedieron.
0,1,42,que prosigue la historia de la famosa infanta micomicona con otras graciosas aventuras.
0,1,43,que trata del curioso discurso que hizo don quijote de las armas y las letras.
0,1,44,donde el cautivo cuenta su vida y sucesos.
0,1,45,donde se prosigue la historia del cautivo.
0,1,46,donde todavia prosigue el cautivo su suceso.
0,1,47,que trata de lo que mas sucedio en la venta y de otras muchas cosas dignas de saberse.
0,1,48,donde se cuenta la agradable historia del mozo de mulas con otros estranos acaecimientos en la venta sucedidos.
0,1,49,donde se prosiguen los inauditos sucesos de la venta.
0,1,50,donde se acaba de averiguar la duda del yelmo de mambrino y de la albarda y otras aventuras sucedidas con toda verdad.
0,1,51,de la notable aventura de los cuadrilleros y la gran ferocidad de nuestro buen caballero don quijote.
0,1,52,del estrano modo con que fue encantado don quijote de la mancha con otros famosos sucesos.
0,1,53,donde prosigue el canonigo la materia de los libros de caballerias con otras cosas dignas de su ingenio.
