i0,i2,textstring
0,0,
0,1,whan that aprille with his shoures sote
0,2,"the droghte of marche hath perced to the rote,"
0,3,"and bathed every veyne in swich licour,"
0,4,of which vertu engendred is the flour;
0,5,whan zephirus eek with his swete breeth 
0,6,inspired hath in every holt and heeth
0,7,"the tendre croppes, and the yonge sonne"
0,8,"hath in the ram his halfe cours y-ronne,"
0,9,"and smale fowles maken melodye,"
0,10,"that slepen al the night with open yë, "
0,11,so priketh hem nature in hir corages:
0,12,than longen folk to goon on pilgrimages
0,13,and palmers for to seken straunge strondes
0,14,"to ferne halwes, couthe in sondry londes;"
0,15,"and specially, from every shires ende "
0,16,"of engelond, to caunterbury they wende,"
0,17,"the holy blisful martir for to seke,"
0,18,"that hem hath holpen, whan that they were seke."
0,0,
0,1,"bifel that, in that seson on a day,"
0,2,in southwerk at the tabard as i lay 
0,3,redy to wenden on my pilgrimage
0,4,"to caunterbury with ful devout corage,"
0,5,at night was come in-to that hostelrye
0,6,"wel nyne and twenty in a companye,"
0,7,"of sondry folk, by aventure y-falle "
0,8,"in felawshipe, and pilgrims were they alle,"
0,9,that toward caunterbury wolden ryde;
0,10,"the chambres and the stables weren wyde,"
0,11,and wel we weren esed atte beste.
0,12,"and shortly, whan the sonne was to reste, "
0,13,"so hadde i spoken with hem everichon,"
0,14,"that i was of hir felawshipe anon,"
0,15,"and made forward erly for to ryse,"
0,16,"to take our wey, ther as i yow devyse."
0,0,
0,1,"but natheles, whyl i have tyme and space, "
0,2,"er that i ferther in this tale pace,"
0,3,"me thinketh it acordaunt to resoun,"
0,4,to telle yow al the condicioun
0,5,"of ech of hem, so as it semed me,"
0,6,"and whiche they weren, and of what degree; "
0,7,and eek in what array that they were inne:
0,8,and at a knight than wol i first biginne.
0,0,
0,1,"a knight ther was, and that a worthy man, knight."
0,2,that fro the tyme that he first bigan
0,3,"to ryden out, he loved chivalrye, "
0,4,"trouthe and honour, fredom and curteisye."
0,5,"ful worthy was he in his lordes werre,"
0,6,and therto hadde he riden no man ferre
0,7,"as wel in cristendom as hethenesse,"
0,8,and ever honoured for his worthinesse. 
0,0,
0,1,"at alisaundre he was, whan it was wonne;"
0,2,ful ofte tyme he hadde the bord bigonne
0,3,aboven alle naciouns in pruce.
0,4,"in lettow hadde he reysed and in ruce,"
0,5,no cristen man so ofte of his degree. 
0,6,in gernade at the sege eek hadde he be
0,7,"of algezir, and riden in belmarye."
0,8,"at lyeys was he, and at satalye,"
0,9,whan they were wonne; and in the grete see
0,10,at many a noble aryve hadde he be. 
0,11,"at mortal batailles hadde he been fiftene,"
0,12,and foughten for our feith at tramissene
0,13,"in listes thryes, and ay slayn his foo."
0,14,this ilke worthy knight had been also
0,15,"somtyme with the lord of palatye, "
0,16,ageyn another hethen in turkye:
0,17,and evermore he hadde a sovereyn prys.
0,18,"and though that he were worthy, he was wys,"
0,19,and of his port as meke as is a mayde.
0,20,he never yet no vileinye ne sayde 
0,21,"in al his lyf, un-to no maner wight."
