idx,textstring
0.1.1,whan that aprille with his shoures sote
0.1.2,the droghte of marche hath perced to the rote
0.1.3,and bathed every veyne in swich licour
0.1.4,of which vertu engendred is the flour
0.1.5,whan zephirus eek with his swete breeth
0.1.6,inspired hath in every holt and heeth
0.1.7,the tendre croppes and the yonge sonne
0.1.8,hath in the ram his halfe cours yronne
0.1.9,and smale fowles maken melodye
0.1.10,that slepen al the night with open ye
0.1.11,so priketh hem nature in hir corages
0.1.12,than longen folk to goon on pilgrimages
0.1.13,and palmers for to seken straunge strondes
0.1.14,to ferne halwes couthe in sondry londes
0.1.15,and specially from every shires ende
0.1.16,of engelond to caunterbury they wende
0.1.17,the holy blisful martir for to seke
0.1.18,that hem hath holpen whan that they were seke
0.2.1,bifel that in that seson on a day
0.2.2,in southwerk at the tabard as i lay
0.2.3,redy to wenden on my pilgrimage
0.2.4,to caunterbury with ful devout corage
0.2.5,at night was come into that hostelrye
0.2.6,wel nyne and twenty in a companye
0.2.7,of sondry folk by aventure yfalle
0.2.8,in felawshipe and pilgrims were they alle
0.2.9,that toward caunterbury wolden ryde
0.2.10,the chambres and the stables weren wyde
0.2.11,and wel we weren esed atte beste
0.2.12,and shortly whan the sonne was to reste
0.2.13,so hadde i spoken with hem everichon
0.2.14,that i was of hir felawshipe anon
0.2.15,and made forward erly for to ryse
0.2.16,to take our wey ther as i yow devyse
0.3.1,but natheles whyl i have tyme and space
0.3.2,er that i ferther in this tale pace
0.3.3,me thinketh it acordaunt to resoun
0.3.4,to telle yow al the condicioun
0.3.5,of ech of hem so as it semed me
0.3.6,and whiche they weren and of what degree
0.3.7,and eek in what array that they were inne
0.3.8,and at a knight than wol i first biginne
0.4.1,a knight ther was and that a worthy man knight
0.4.2,that fro the tyme that he first bigan
0.4.3,to ryden out he loved chivalrye
0.4.4,trouthe and honour fredom and curteisye
0.4.5,ful worthy was he in his lordes werre
0.4.6,and therto hadde he riden no man ferre
0.4.7,as wel in cristendom as hethenesse
0.4.8,and ever honoured for his worthinesse
0.5.1,at alisaundre he was whan it was wonne
0.5.2,ful ofte tyme he hadde the bord bigonne
0.5.3,aboven alle naciouns in pruce
0.5.4,in lettow hadde he reysed and in ruce
0.5.5,no cristen man so ofte of his degree
0.5.6,in gernade at the sege eek hadde he be
0.5.7,of algezir and riden in belmarye
0.5.8,at lyeys was he and at satalye
0.5.9,whan they were wonne and in the grete see
0.5.10,at many a noble aryve hadde he be
0.5.11,at mortal batailles hadde he been fiftene
0.5.12,and foughten for our feith at tramissene
0.5.13,in listes thryes and ay slayn his foo
0.5.14,this ilke worthy knight had been also
0.5.15,somtyme with the lord of palatye
0.5.16,ageyn another hethen in turkye
0.5.17,and evermore he hadde a sovereyn prys
0.5.18,and though that he were worthy he was wys
0.5.19,and of his port as meke as is a mayde
0.5.20,he never yet no vileinye ne sayde
0.5.21,in al his lyf unto no maner wight
0.5.22,he was a verray parfit gentil knight
0.5.23,but for to tellen yow of his array
0.5.24,his hors were gode but he was nat gay
0.5.25,of fustian he wered a gipoun
0.5.26,al bismotered with his habergeoun
0.5.27,for he was late ycome from his viage
0.5.28,and wente for to doon his pilgrimage
0.6.1,with him ther was his sone a yong squyer squyer
0.6.2,a lovyere and a lusty bacheler
0.6.3,with lokkes crulle as they were leyd in presse
0.6.4,of twenty yeer of age he was i gesse
0.6.5,of his stature he was of evene lengthe
0.6.6,and wonderly deliver and greet of strengthe
0.6.7,and he had been somtyme in chivachye
0.6.8,in flaundres in artoys and picardye
0.6.9,and born him wel as of so litel space
0.6.10,in hope to stonden in his lady grace
0.6.11,embrouded was he as it were a mede
0.6.12,al ful of fresshe floures whyte and rede
0.6.13,singinge he was or floytinge al the day
0.6.14,he was as fresh as is the month of may
0.6.15,short was his goune with sleves longe and wyde
0.6.16,wel coude he sitte on hors and faire ryde
0.6.17,he coude songes make and wel endyte
0.6.18,iuste and eek daunce and wel purtreye and wryte
0.6.19,so hote he lovede that by nightertale
0.6.20,he sleep namore than dooth a nightingale
0.6.21,curteys he was lowly and servisable
0.6.22,and carf biforn his fader at the table
0.7.1,a yeman hadde he and servaunts namo yeman
0.7.2,at that tyme for him liste ryde so
0.7.3,and he was clad in cote and hood of grene
0.7.4,a sheef of pecokarwes brighte and kene
0.7.5,under his belt he bar ful thriftily
0.7.6,wel coude he dresse his takel yemanly
0.7.7,his arwes drouped noght with fetheres lowe
0.7.8,and in his hand he bar a mighty bowe
0.7.9,a notheed hadde he with a broun visage
0.7.10,of wodecraft wel coude he al the usage
0.7.11,upon his arm he bar a gay bracer
0.7.12,and by his syde a swerd and a bokeler
0.7.13,and on that other syde a gay daggere
0.7.14,harneised wel and sharp as point of spere
0.7.15,a cristofre on his brest of silver shene
0.7.16,an horn he bar the bawdrik was of grene
0.7.17,a forster was he soothly as i gesse
0.8.1,ther was also a nonne a prioresse prioresse
0.8.2,that of hir smyling was ful simple and coy
0.8.3,hir gretteste ooth was but by seynt loy
0.8.4,and she was cleped madame eglentyne
0.8.5,ful wel she song the service divyne
0.8.6,entuned in hir nose ful semely
0.8.7,and frensh she spak ful faire and fetisly
0.8.8,after the scole of stratford atte bowe
0.8.9,for frensh of paris was to hir unknowe
0.8.10,at mete wel ytaught was she withalle
0.8.11,she leet no morsel from hir lippes falle
0.8.12,ne wette hir fingres in hir sauce depe
0.8.13,wel coude she carie a morsel and wel kepe
0.8.14,that no drope ne fille upon hir brest
0.8.15,in curteisye was set ful muche hir lest
0.8.16,hir over lippe wyped she so clene
0.8.17,that in hir coppe was no ferthing sene
0.8.18,of grece whan she dronken hadde hir draughte
0.8.19,ful semely after hir mete she raughte
0.8.20,and sikerly she was of greet disport
0.8.21,and ful plesaunt and amiable of port
0.8.22,and peyned hir to countrefete chere
0.8.23,of court and been estatlich of manere
0.8.24,and to ben holden digne of reverence
0.8.25,but for to speken of hir conscience
0.8.26,she was so charitable and so pitous
0.8.27,she wolde wepe if that she sawe a mous
0.8.28,caught in a trappe if it were deed or bledde
0.8.29,of smale houndes had she that she fedde
0.8.30,with rosted flesh or milk and wastelbreed
0.8.31,but sore weep she if oon of hem were deed
0.8.32,or if men smoot it with a yerde smerte
0.8.33,and al was conscience and tendre herte
0.8.34,ful semely hir wimpel pinched was
0.8.35,hir nose tretys hir eyen greye as glas
0.8.36,hir mouth ful smal and therto softe and reed
0.8.37,but sikerly she hadde a fair forheed
0.8.38,it was almost a spanne brood i trowe
0.8.39,for hardily she was nat undergrowe
0.8.40,ful fetis was hir cloke as i was war
0.8.41,of smal coral aboute hir arm she bar
0.8.42,a peire of bedes gauded al with grene
0.8.43,and theron heng a broche of gold ful shene
0.8.44,on which ther was first write a crowned a
0.8.45,and after amor vincit omnia
0.9.1,another nonne with hir hadde she nonne
0.9.2,that was hir chapeleyne and preestes three
0.10.1,a monk ther was a fair for the maistrye monk
0.10.2,an outrydere that lovede venerye
0.10.3,a manly man to been an abbot able
0.10.4,ful many a deyntee hors hadde he in stable
0.10.5,and whan he rood men mighte his brydel here
0.10.6,ginglen in a whistling wind as clere
0.10.7,and eek as loude as dooth the chapelbelle
0.10.8,ther as this lord was keper of the celle
0.10.9,the reule of seint maure or of seint beneit
0.10.10,bycause that it was old and somdel streit
0.10.11,this ilke monk leet olde thinges pace
0.10.12,and held after the newe world the space
0.10.13,he yaf nat of that text a pulled hen
0.10.14,that seith that hunters been nat holy men
0.10.15,ne that a monk whan he is cloisterlees
0.10.16,is lykned til a fish that is waterlees
0.10.17,this is to seyn a monk out of his cloistre
0.10.18,but thilke text held he nat worth an oistre
0.10.19,and i seyde his opinioun was good
0.10.20,what sholde he studie and make himselven wood
0.10.21,upon a book in cloistre alwey to poure
0.10.22,or swinken with his handes and laboure
0.10.23,as austin bit how shal the world be served
0.10.24,lat austin have his swink to him reserved
0.10.25,therfore he was a pricasour aright
0.10.26,grehoundes he hadde as swifte as fowel in flight
0.10.27,of priking and of hunting for the hare
0.10.28,was al his lust for no cost wolde he spare
0.10.29,i seigh his sleves purfiled at the hond
0.10.30,with grys and that the fyneste of a lond
0.10.31,and for to festne his hood under his chin
0.10.32,he hadde of gold ywroght a curious pin
0.10.33,a loveknotte in the gretter ende ther was
0.10.34,his heed was balled that shoon as any glas
0.10.35,and eek his face as he had been anoint
0.10.36,he was a lord ful fat and in good point
0.10.37,his eyen stepe and rollinge in his heed
0.10.38,that stemed as a forneys of a leed
0.10.39,his botes souple his hors in greet estat
0.10.40,now certeinly he was a fair prelat
0.10.41,he was nat pale as a forpyned goost
0.10.42,a fat swan loved he best of any roost
0.10.43,his palfrey was as broun as is a berye
0.11.1,a frere ther was a wantown and a merye frere
0.11.2,a limitour a ful solempne man
0.11.3,in alle the ordres foure is noon that can
0.11.4,so muche of daliaunce and fair langage
0.11.5,he hadde maad ful many a mariage
0.11.6,of yonge wommen at his owne cost
0.11.7,unto his ordre he was a noble post
0.11.8,ful wel biloved and famulier was he
0.11.9,with frankeleyns overal in his contree
0.11.10,and eek with worthy wommen of the toun
0.11.11,for he had power of confessioun
0.11.12,as seyde himself more than a curat
0.11.13,for of his ordre he was licentiat
0.11.14,ful swetely herde he confessioun
0.11.15,and plesaunt was his absolucioun
0.11.16,he was an esy man to yeve penaunce
0.11.17,ther as he wiste to han a good pitaunce
0.11.18,for unto a povre ordre for to yive
0.11.19,is signe that a man is wel yshrive
0.11.20,for if he yaf he dorste make avaunt
0.11.21,he wiste that a man was repentaunt
0.11.22,for many a man so hard is of his herte
0.11.23,he may nat wepe althogh him sore smerte
0.11.24,therfore in stede of weping and preyeres
0.11.25,men moot yeve silver to the povre freres
0.11.26,his tipet was ay farsed ful of knyves
0.11.27,and pinnes for to yeven faire wyves
0.11.28,and certeinly he hadde a mery note
0.11.29,wel coude he singe and pleyen on a rote
0.11.30,of yeddinges he bar utterly the prys
0.11.31,his nekke whyt was as the flourdelys
